PLAYER_NAME,TEAM_ABBREVIATION,AGE,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT,FGM,FGA,FG_PCT
Damyean Dotson,NYK,26.0,0.5,0.9,0.591,0.1,0.2,0.333,0.1,0.2,0.4,0.3,0.9,0.375,0.6,1.6,0.365,0.9,2.3,0.393,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Gafford,CHI,21.0,2.1,2.9,0.742,0.0,0.2,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Theis,BOS,28.0,2.6,3.8,0.689,0.3,0.7,0.45,0.2,0.4,0.52,0.1,0.2,0.5,0.1,0.4,0.19,0.4,1.1,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danilo Gallinari,OKC,31.0,1.5,2.5,0.571,0.2,0.8,0.261,0.4,0.9,0.447,0.5,1.2,0.4,1.3,2.9,0.447,2.1,5.1,0.413,0.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0
Danny Green,LAL,32.0,0.7,1.1,0.636,0.2,0.4,0.5,0.1,0.2,0.462,0.1,0.3,0.2,1.1,2.5,0.422,0.8,2.4,0.329,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Exum,CLE,24.0,0.9,1.7,0.542,0.2,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.4,0.214,0.3,0.8,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Danuel House Jr.,HOU,26.0,1.4,2.3,0.619,0.1,0.4,0.227,0.1,0.2,0.364,0.0,0.1,0.333,1.1,2.9,0.398,0.8,2.5,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dario Saric,PHX,26.0,1.8,3.0,0.603,0.2,0.6,0.412,0.1,0.2,0.571,0.2,0.4,0.478,0.4,1.4,0.316,0.9,2.5,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Bazley,OKC,19.0,0.9,1.8,0.505,0.1,0.5,0.269,0.0,0.1,0.25,0.0,0.1,0.4,0.4,1.1,0.339,0.2,0.9,0.261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Garland,CLE,20.0,1.2,2.7,0.44,0.6,1.3,0.486,0.7,1.5,0.438,0.4,1.1,0.349,0.7,1.8,0.371,1.2,3.1,0.374,0.2,0.7,0.231,0.0,0.0,0.0,0.0,0.0,0.0
Daryl Macon,MIA,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0,0.333,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,
David Nwaba,BKN,27.0,1.2,1.8,0.657,0.1,0.4,0.286,0.0,0.1,0.0,0.0,0.0,0.0,0.3,0.7,0.429,0.3,0.7,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Davis Bertans,WAS,27.0,0.8,1.4,0.584,0.1,0.3,0.222,0.2,0.4,0.45,0.1,0.3,0.353,0.6,1.4,0.436,2.8,6.9,0.398,0.4,0.6,0.75,0.0,0.0,0.0,0.0,0.0,0.0
De'Aaron Fox,SAC,22.0,4.0,6.6,0.611,1.1,2.5,0.429,0.7,2.0,0.372,0.3,0.7,0.469,0.5,1.7,0.274,0.7,2.0,0.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Andre Hunter,ATL,22.0,1.6,3.0,0.532,0.3,0.9,0.316,0.3,0.9,0.382,0.2,0.7,0.318,1.0,2.6,0.395,1.0,2.8,0.362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Anthony Melton,MEM,21.0,1.4,2.5,0.57,0.3,0.8,0.4,0.2,0.3,0.444,0.2,0.6,0.276,0.4,1.1,0.345,0.4,1.5,0.303,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
DeAndre Jordan,BKN,31.0,3.3,4.9,0.682,0.1,0.2,0.333,0.0,0.0,0.0,0.0,0.1,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre' Bembry,ATL,25.0,1.7,3.0,0.583,0.3,0.6,0.407,0.1,0.2,0.571,0.0,0.0,0.0,0.2,0.8,0.229,0.2,0.7,0.241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
